Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
01/04/2026 00:57:30,System.Runtime,Gen 0 GC Budget (MB),Metric,6
01/04/2026 00:57:30,System.Runtime,ThreadPool Thread Count,Metric,2
01/04/2026 00:57:30,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
01/04/2026 00:57:30,System.Runtime,ThreadPool Queue Length,Metric,0
01/04/2026 00:57:30,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
01/04/2026 00:57:30,System.Runtime,Allocation Rate (B / 1 sec),Rate,8200
01/04/2026 00:57:30,System.Runtime,Number of Active Timers,Metric,2
01/04/2026 00:57:30,System.Runtime,GC Fragmentation (%),Metric,17.310817885052877
01/04/2026 00:57:30,System.Runtime,GC Committed Bytes (MB),Metric,35.667968
01/04/2026 00:57:30,System.Runtime,Exception Count (Count / 1 sec),Rate,0
01/04/2026 00:57:30,System.Runtime,% Time in GC since last GC (%),Metric,0
01/04/2026 00:57:30,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
01/04/2026 00:57:30,System.Runtime,Gen 0 Size (B),Metric,6307304
01/04/2026 00:57:30,System.Runtime,Gen 1 Size (B),Metric,6526760
01/04/2026 00:57:30,System.Runtime,Gen 2 Size (B),Metric,21728920
01/04/2026 00:57:30,System.Runtime,LOH Size (B),Metric,491232
01/04/2026 00:57:30,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,262336
01/04/2026 00:57:30,System.Runtime,Number of Assemblies Loaded,Metric,124
01/04/2026 00:57:30,System.Runtime,IL Bytes Jitted (B),Metric,511642
01/04/2026 00:57:30,System.Runtime,Number of Methods Jitted,Metric,7054
01/04/2026 00:57:30,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
01/04/2026 00:57:31,System.Runtime,CPU Usage (%),Metric,0.0071517867594932715
01/04/2026 00:57:31,System.Runtime,Working Set (MB),Metric,153.51808
01/04/2026 00:57:31,System.Runtime,GC Heap Size (MB),Metric,58.558016
01/04/2026 00:57:31,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
01/04/2026 00:57:31,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
01/04/2026 00:57:31,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
01/04/2026 00:57:31,System.Runtime,Gen 0 GC Budget (MB),Metric,6
01/04/2026 00:57:31,System.Runtime,ThreadPool Thread Count,Metric,2
01/04/2026 00:57:31,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
01/04/2026 00:57:31,System.Runtime,ThreadPool Queue Length,Metric,0
01/04/2026 00:57:31,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
01/04/2026 00:57:31,System.Runtime,Allocation Rate (B / 1 sec),Rate,0
01/04/2026 00:57:31,System.Runtime,Number of Active Timers,Metric,2
01/04/2026 00:57:31,System.Runtime,GC Fragmentation (%),Metric,17.310817885052877
01/04/2026 00:57:31,System.Runtime,GC Committed Bytes (MB),Metric,35.667968
01/04/2026 00:57:31,System.Runtime,Exception Count (Count / 1 sec),Rate,0
01/04/2026 00:57:31,System.Runtime,% Time in GC since last GC (%),Metric,0
01/04/2026 00:57:31,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
01/04/2026 00:57:31,System.Runtime,Gen 0 Size (B),Metric,6307304
01/04/2026 00:57:31,System.Runtime,Gen 1 Size (B),Metric,6526760
01/04/2026 00:57:31,System.Runtime,Gen 2 Size (B),Metric,21728920
01/04/2026 00:57:31,System.Runtime,LOH Size (B),Metric,491232
01/04/2026 00:57:31,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,262336
01/04/2026 00:57:31,System.Runtime,Number of Assemblies Loaded,Metric,124
01/04/2026 00:57:31,System.Runtime,IL Bytes Jitted (B),Metric,511642
01/04/2026 00:57:31,System.Runtime,Number of Methods Jitted,Metric,7054
01/04/2026 00:57:31,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
01/04/2026 00:57:32,System.Runtime,CPU Usage (%),Metric,0.06222428267999272
01/04/2026 00:57:32,System.Runtime,Working Set (MB),Metric,153.534464
01/04/2026 00:57:32,System.Runtime,GC Heap Size (MB),Metric,58.56624
01/04/2026 00:57:32,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
01/04/2026 00:57:32,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
01/04/2026 00:57:32,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
01/04/2026 00:57:32,System.Runtime,Gen 0 GC Budget (MB),Metric,6
01/04/2026 00:57:32,System.Runtime,ThreadPool Thread Count,Metric,2
01/04/2026 00:57:32,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
01/04/2026 00:57:32,System.Runtime,ThreadPool Queue Length,Metric,0
01/04/2026 00:57:32,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,2
01/04/2026 00:57:32,System.Runtime,Allocation Rate (B / 1 sec),Rate,8200
01/04/2026 00:57:32,System.Runtime,Number of Active Timers,Metric,2
01/04/2026 00:57:32,System.Runtime,GC Fragmentation (%),Metric,17.310817885052877
01/04/2026 00:57:32,System.Runtime,GC Committed Bytes (MB),Metric,35.667968
01/04/2026 00:57:32,System.Runtime,Exception Count (Count / 1 sec),Rate,0
01/04/2026 00:57:32,System.Runtime,% Time in GC since last GC (%),Metric,0
01/04/2026 00:57:32,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
